#  North Carolina Average Temperature
# Units: Degrees Fahrenheit
Date,Value
200101,39.3
200102,46.4
200103,47.2
200104,59.8
200105,66.3
200106,74.3
200107,74.6
200108,76.7
200109,67.6
200110,57.7
200111,54.8
200112,48
200201,42.6
200202,44.4
200203,51.1
200204,62.5
200205,65.3
200206,75.2
200207,78.7
200208,77
200209,72.2
200210,62.1
200211,48.1
200212,40.5
200301,36.4
200302,41.4
200303,52.8
200304,57.6
200305,65.8
200306,72.5
200307,76.6
200308,77.3
200309,69.4
200310,58.9
200311,55.7
200312,40.3
200401,37.9
200402,40.4
200403,51.8
200404,58.8
200405,71.1
200406,74.4
200407,77.3
200408,73.9
200409,70.2
200410,61.6
200411,52.8
200412,41.9
200501,43
200502,43.8
200503,47.2
200504,57.6
200505,63.3
200506,73.5
200507,79.2
200508,78.1
200509,73.6
200510,61.7
200511,52.1
200512,40
200601,46.6
200602,42.1
200603,49.8
200604,61.7
200605,64.2
200606,73.1
200607,77.6
200608,78.3
200609,68.1
200610,57.7
200611,51.5
200612,47.1
200701,44.2
200702,39.1
200703,53.8
200704,57.3
200705,66
200706,74.1
200707,75.8
200708,80.6
200709,72.4
200710,65.4
200711,49.5
200712,47.5
200801,40.1
200802,46.2
200803,51
200804,58.7
200805,64.8
200806,77.1
200807,76.6
200808,75.5
200809,70.8
200810,57.8
200811,47.2
200812,46.1
200901,38.7
200902,42.8
200903,49.3
200904,58.7
200905,67.5
200906,75.1
200907,75.2
200908,77.4
200909,69.6
200910,58.9
200911,52.7
200912,40.7
201001,36.6
201002,36.9
201003,49.5
201004,61.3
201005,69.5
201006,78.8
201007,79.4
201008,78.6
201009,73.1
201010,60.9
201011,50
201012,33.6
201101,36.2
201102,45.7
201103,50.6
201104,61.4
201105,67.6
201106,77
201107,80
201108,77.7
201109,71
201110,58.2
201111,52.4
201112,46.9
201201,43.9
201202,45.8
201203,58.7
201204,59.2
201205,69.6
201206,72.3
201207,80.3
201208,75.6
201209,69.8
201210,59.5
201211,46.3
201212,47.6
201301,44.1
201302,41.8
201303,44
201304,58.7
201305,65.1
201306,74.3
201307,77
201308,74.4
201309,69.4
201310,60.7
201311,47.8
201312,45.4
201401,35.3
201402,43
201403,45.5
201404,59.2
201405,68.5
201406,75.2
201407,75.7
201408,74.3
201409,71.2
201410,61.4
201411,45.8
201412,45.1
201501,39.4
201502,34.9
201503,50.7
201504,60
201505,68.6
201506,77.3
201507,78.5
201508,76.1
201509,71.6
201510,60
201511,54.4
201512,54.7
201601,38.4
201602,43.2
201603,56.2
201604,58.7
201605,65.8
201606,75.3
201607,80.1
201608,79.2
201609,74.3
201610,63.2
201611,51.7
201612,44
201701,45.4
201702,50.7
201703,50
201704,63.9
201705,67.7
201706,73.8
201707,78.7
201708,75.8
201709,70.5
201710,62.8
201711,50.3
201712,42.4
201801,35.9
201802,51.9
201803,46.3
201804,56.1
201805,71.6
201806,76.8
201807,77.2
201808,77.3
201809,76.2
201810,62.5
201811,48.4
201812,45
201901,42
201902,48.1
201903,48.8
201904,61.1
201905,72.2
201906,74.2
201907,79
201908,77
201909,74.9
201910,64.6
201911,47.4
201912,46.6
202001,46
202002,47
202003,55.9
202004,57.4
202005,63.6
202006,73.2
202007,79.6
202008,77.5
202009,69.7
202010,63
202011,54.8
202012,42.2
202101,40.8
202102,42.2
202103,53.1
202104,58.6
202105,65.5
202106,73.8
202107,77.1
202108,77.8
202109,70.6
202110,64.4
202111,48.1
202112,50.8
202201,38.7
202202,46
202203,53.4
202204,58.8
202205,68.8
202206,75.1
202207,79.1
202208,76.5
202209,70.3
202210,57.4
202211,53.2
202212,41.8
202301,46.7
202302,51.2
202303,52.2
202304,60.3
202305,64.2
202306,70.8
202307,78.6
202308,77.3
202309,70.8
202310,60.9
202311,50.2
202312,46
202401,41.8
202402,46.8
202403,53.8
202404,61
202405,69.2
202406,75.6
202407,78.8
202408,75.9
202409,71.1
202410,61.1
202411,54.9
202412,43.6
202501,35.4
202502,45.8
202503,53.9
202504,62.9
202505,67.6
202506,76.6
202507,80.3
202508,73.7
202509,70.1
202510,59.4
202511,51.2
202512,41.8
202601,39
202602,41.3
202603,56.8
