#  North Carolina Cooling Degree Days
# Units: Fahrenheit Degree-Days
Date,Value
200101,0
200102,1
200103,3
200104,17
200105,109
200106,294
200107,309
200108,377
200109,117
200110,18
200111,8
200112,5
200201,2
200202,0
200203,10
200204,44
200205,90
200206,324
200207,442
200208,383
200209,227
200210,50
200211,0
200212,0
200301,0
200302,0
200303,14
200304,7
200305,95
200306,236
200307,368
200308,391
200309,156
200310,24
200311,10
200312,0
200401,0
200402,0
200403,11
200404,13
200405,219
200406,293
200407,391
200408,288
200409,173
200410,47
200411,3
200412,0
200501,3
200502,0
200503,3
200504,8
200505,61
200506,268
200507,451
200508,415
200509,272
200510,48
200511,2
200512,0
200601,10
200602,0
200603,7
200604,34
200605,72
200606,259
200607,402
200608,426
200609,132
200610,17
200611,2
200612,4
200701,5
200702,0
200703,18
200704,8
200705,102
200706,287
200707,348
200708,512
200709,243
200710,99
200711,0
200712,4
200801,2
200802,1
200803,9
200804,11
200805,82
200806,380
200807,371
200808,335
200809,185
200810,17
200811,0
200812,3
200901,0
200902,0
200903,5
200904,13
200905,130
200906,313
200907,334
200908,396
200909,164
200910,23
200911,3
200912,0
201001,0
201002,0
201003,7
201004,30
201005,177
201006,422
201007,457
201008,432
201009,264
201010,43
201011,0
201012,0
201101,0
201102,1
201103,8
201104,30
201105,133
201106,373
201107,478
201108,405
201109,197
201110,20
201111,2
201112,4
201201,5
201202,0
201203,48
201204,14
201205,178
201206,236
201207,489
201208,340
201209,168
201210,29
201211,0
201212,4
201301,5
201302,0
201303,0
201304,12
201305,85
201306,288
201307,379
201308,301
201309,161
201310,39
201311,0
201312,2
201401,0
201402,0
201403,0
201404,15
201405,153
201406,321
201407,350
201408,299
201409,200
201410,48
201411,0
201412,1
201501,0
201502,0
201503,9
201504,19
201505,158
201506,382
201507,432
201508,361
201509,214
201510,31
201511,6
201512,26
201601,0
201602,0
201603,31
201604,12
201605,100
201606,325
201607,482
201608,455
201609,292
201610,66
201611,1
201612,1
201701,8
201702,8
201703,8
201704,59
201705,134
201706,276
201707,440
201708,350
201709,189
201710,64
201711,0
201712,0
201801,0
201802,10
201803,1
201804,4
201805,236
201806,370
201807,397
201808,391
201809,340
201810,57
201811,0
201812,2
201901,2
201902,2
201903,4
201904,27
201905,245
201906,288
201907,450
201908,381
201909,317
201910,90
201911,0
201912,2
202001,8
202002,2
202003,27
202004,7
202005,62
202006,262
202007,465
202008,398
202009,160
202010,64
202011,8
202012,0
202101,1
202102,0
202103,15
202104,13
202105,95
202106,280
202107,390
202108,410
202109,190
202110,85
202111,0
202112,11
202201,0
202202,1
202203,16
202204,14
202205,160
202206,320
202207,449
202208,369
202209,181
202210,16
202211,5
202212,0
202301,11
202302,8
202303,13
202304,21
202305,72
202306,198
202307,434
202308,393
202309,189
202310,40
202311,0
202312,2
202401,2
202402,1
202403,18
202404,27
202405,167
202406,335
202407,447
202408,348
202409,199
202410,42
202411,7
202412,0
202501,0
202502,1
202503,19
202504,49
202505,130
202506,359
202507,489
202508,276
202509,177
202510,27
202511,1
202512,0
202601,0
202602,0
202603,33
