#  North Carolina Heating Degree Days
# Units: Fahrenheit Degree-Days
Date,Value
200101,794
200102,518
200103,549
200104,162
200105,56
200106,3
200107,0
200108,0
200109,35
200110,244
200111,312
200112,535
200201,700
200202,576
200203,441
200204,109
200205,72
200206,2
200207,0
200208,0
200209,7
200210,149
200211,507
200212,763
200301,880
200302,660
200303,392
200304,225
200305,67
200306,7
200307,0
200308,0
200309,22
200310,212
200311,290
200312,765
200401,836
200402,694
200403,411
200404,189
200405,16
200406,2
200407,0
200408,1
200409,17
200410,149
200411,365
200412,717
200501,682
200502,589
200503,544
200504,218
200505,102
200506,3
200507,0
200508,0
200509,4
200510,151
200511,391
200512,777
200601,577
200602,634
200603,462
200604,120
200605,91
200606,3
200607,0
200608,0
200609,30
200610,248
200611,409
200612,561
200701,648
200702,722
200703,349
200704,227
200705,59
200706,2
200707,1
200708,0
200709,5
200710,89
200711,465
200712,549
200801,777
200802,530
200803,441
200804,202
200805,79
200806,1
200807,0
200808,0
200809,13
200810,242
200811,535
200812,595
200901,814
200902,614
200903,488
200904,191
200905,45
200906,1
200907,1
200908,0
200909,18
200910,217
200911,376
200912,765
201001,875
201002,784
201003,478
201004,129
201005,26
201006,0
201007,0
201008,0
201009,4
201010,163
201011,454
201012,969
201101,887
201102,536
201103,450
201104,130
201105,43
201106,1
201107,0
201108,0
201109,13
201110,230
201111,382
201112,565
201201,661
201202,536
201203,233
201204,181
201205,24
201206,4
201207,0
201208,0
201209,17
201210,198
201211,559
201212,542
201301,651
201302,649
201303,644
201304,189
201305,77
201306,2
201307,0
201308,1
201309,19
201310,169
201311,521
201312,611
201401,921
201402,607
201403,605
201404,182
201405,36
201406,1
201407,1
201408,1
201409,10
201410,154
201411,577
201412,621
201501,795
201502,837
201503,443
201504,162
201505,30
201506,1
201507,0
201508,0
201509,10
201510,192
201511,330
201512,350
201601,825
201602,609
201603,290
201604,188
201605,65
201606,1
201607,0
201608,0
201609,2
201610,123
201611,395
201612,656
201701,615
201702,396
201703,458
201704,88
201705,44
201706,3
201707,0
201708,0
201709,17
201710,130
201711,448
201712,697
201801,900
201802,378
201803,573
201804,261
201805,13
201806,1
201807,0
201808,0
201809,1
201810,136
201811,513
201812,629
201901,714
201902,478
201903,502
201904,139
201905,13
201906,3
201907,0
201908,0
201909,1
201910,96
201911,536
201912,582
202001,601
202002,504
202003,300
202004,222
202005,104
202006,3
202007,0
202008,0
202009,19
202010,127
202011,317
202012,707
202101,749
202102,642
202103,379
202104,195
202105,69
202106,2
202107,0
202108,0
202109,14
202110,100
202111,508
202112,446
202201,813
202202,529
202203,369
202204,188
202205,32
202206,1
202207,0
202208,0
202209,17
202210,251
202211,357
202212,729
202301,574
202302,387
202303,399
202304,159
202305,89
202306,12
202307,0
202308,0
202309,11
202310,162
202311,444
202312,589
202401,723
202402,504
202403,357
202404,136
202405,29
202406,1
202407,0
202408,0
202409,11
202410,158
202411,313
202412,665
202501,908
202502,533
202503,348
202504,99
202505,47
202506,1
202507,0
202508,1
202509,15
202510,198
202511,406
202512,716
202601,802
202602,652
202603,277
