#  North Carolina Maximum Temperature
# Units: Degrees Fahrenheit
Date,Value
200101,50.7
200102,58
200103,58.3
200104,72.7
200105,79
200106,84.5
200107,84.2
200108,86.9
200109,78.4
200110,71.9
200111,69
200112,59.4
200201,54.2
200202,57
200203,63.5
200204,75
200205,77.7
200206,87.1
200207,89.5
200208,88
200209,81.5
200210,70.4
200211,58.9
200212,50.6
200301,46.6
200302,51.2
200303,63.8
200304,69
200305,75.4
200306,82.6
200307,85.8
200308,86.2
200309,79.6
200310,70
200311,68.1
200312,51.7
200401,49
200402,50.4
200403,64
200404,71.4
200405,82.3
200406,83.7
200407,87.2
200408,83.1
200409,79.2
200410,71.1
200411,63.9
200412,53.6
200501,53.5
200502,54.3
200503,58.7
200504,70
200505,75.2
200506,83.2
200507,88.6
200508,87.6
200509,84.7
200510,72
200511,65
200512,50.7
200601,57.7
200602,53.4
200603,62
200604,75.3
200605,76.7
200606,83.9
200607,88
200608,88.2
200609,78.1
200610,69.3
200611,63.1
200612,59.7
200701,54.8
200702,50.4
200703,67.4
200704,70.2
200705,78.8
200706,85.5
200707,86.6
200708,92.4
200709,84.4
200710,77.1
200711,62.3
200712,58.3
200801,50.9
200802,58.3
200803,63.8
200804,69.8
200805,77
200806,89.4
200807,87.6
200808,86
200809,80.2
200810,69.9
200811,58.9
200812,56.4
200901,49.1
200902,55
200903,60.1
200904,71.5
200905,77.7
200906,85.6
200907,85.7
200908,86.9
200909,79
200910,69.2
200911,63
200912,50.4
201001,47
201002,46.1
201003,61.1
201004,75.6
201005,80.4
201006,89.5
201007,90.1
201008,88.3
201009,85.3
201010,73.9
201011,62.5
201012,42.9
201101,46.4
201102,58
201103,62.3
201104,73.7
201105,79.2
201106,88.8
201107,90.9
201108,88.4
201109,80.5
201110,70.2
201111,64.8
201112,58.3
201201,55.2
201202,57.4
201203,71
201204,71.4
201205,80.3
201206,84.1
201207,90.8
201208,84.7
201209,80.4
201210,70.3
201211,58.2
201212,57.8
201301,54.2
201302,52.2
201303,55.2
201304,70.3
201305,75.8
201306,83.7
201307,85.3
201308,83.2
201309,80.1
201310,70.8
201311,59.6
201312,56.4
201401,47.1
201402,53.8
201403,57.5
201404,72
201405,80.5
201406,85.9
201407,85.5
201408,83.4
201409,79.5
201410,73.6
201411,57.4
201412,54.7
201501,50
201502,45.6
201503,62.3
201504,71.3
201505,80.4
201506,87.9
201507,88.4
201508,86.4
201509,80.9
201510,70.7
201511,64.5
201512,64.2
201601,48.4
201602,53.1
201603,68.3
201604,71.3
201605,76.1
201606,86.4
201607,90.4
201608,88.7
201609,83.9
201610,74.8
201611,64.9
201612,54.1
201701,54.9
201702,64
201703,62.7
201704,75.1
201705,78.5
201706,84
201707,88.7
201708,85.2
201709,80.8
201710,74.5
201711,62.3
201712,52.4
201801,47.6
201802,62.4
201803,56.8
201804,68.9
201805,81.9
201806,87.2
201807,87.1
201808,86.8
201809,84.7
201810,72.7
201811,58.3
201812,54.2
201901,51.7
201902,58.6
201903,60.3
201904,72.6
201905,83.7
201906,84.4
201907,89.6
201908,86.9
201909,86.1
201910,75.4
201911,58.3
201912,57.2
202001,55.7
202002,56.9
202003,66.1
202004,69.9
202005,73.9
202006,82.5
202007,89.9
202008,86
202009,78.6
202010,73.7
202011,66.4
202012,53
202101,50.1
202102,51.1
202103,64.8
202104,71.8
202105,77.9
202106,83.7
202107,86.9
202108,87.3
202109,81.5
202110,75
202111,60.9
202112,62.5
202201,49.4
202202,58.1
202203,66.2
202204,71.8
202205,79.8
202206,86.7
202207,88.6
202208,85.9
202209,81.3
202210,69.2
202211,64.3
202212,52
202301,57.2
202302,62
202303,64.1
202304,72.6
202305,74.7
202306,81.4
202307,88.5
202308,87.4
202309,80.9
202310,73
202311,62.4
202312,57.6
202401,52.7
202402,58.4
202403,65.5
202404,72.8
202405,79.7
202406,86.7
202407,88.2
202408,85.7
202409,79.8
202410,73.6
202411,66
202412,54
202501,46.1
202502,57.2
202503,67.2
202504,74.5
202505,77.6
202506,86.8
202507,89.7
202508,82.2
202509,80.4
202510,70
202511,63.9
202512,52.9
202601,50.3
202602,51.9
202603,70.6
