#  North Carolina Minimum Temperature
# Units: Degrees Fahrenheit
Date,Value
200101,28
200102,34.7
200103,36.1
200104,46.9
200105,53.7
200106,64.2
200107,64.9
200108,66.4
200109,56.8
200110,43.4
200111,40.6
200112,36.6
200201,31
200202,31.8
200203,38.7
200204,50
200205,52.9
200206,63.2
200207,67.9
200208,65.9
200209,63
200210,53.7
200211,37.4
200212,30.4
200301,26.2
200302,31.7
200303,41.7
200304,46.3
200305,56.1
200306,62.4
200307,67.4
200308,68.4
200309,59.3
200310,47.7
200311,43.3
200312,28.9
200401,26.8
200402,30.3
200403,39.5
200404,46.3
200405,59.9
200406,65.2
200407,67.3
200408,64.7
200409,61.2
200410,52
200411,41.8
200412,30.2
200501,32.5
200502,33.2
200503,35.8
200504,45.3
200505,51.3
200506,63.8
200507,69.7
200508,68.5
200509,62.5
200510,51.3
200511,39.3
200512,29.3
200601,35.6
200602,30.7
200603,37.6
200604,48.1
200605,51.8
200606,62.3
200607,67.1
200608,68.4
200609,58.2
200610,46
200611,39.9
200612,34.4
200701,33.6
200702,27.7
200703,40.3
200704,44.4
200705,53.3
200706,62.7
200707,65.1
200708,68.8
200709,60.3
200710,53.6
200711,36.8
200712,36.6
200801,29.2
200802,34.1
200803,38.1
200804,47.7
200805,52.5
200806,64.8
200807,65.5
200808,65
200809,61.3
200810,45.6
200811,35.6
200812,35.8
200901,28.4
200902,30.5
200903,38.5
200904,46
200905,57.3
200906,64.5
200907,64.8
200908,67.8
200909,60.2
200910,48.4
200911,42.4
200912,31
201001,26.3
201002,27.7
201003,37.9
201004,47
201005,58.6
201006,68
201007,68.7
201008,68.7
201009,60.9
201010,47.9
201011,37.4
201012,24.2
201101,26.1
201102,33.3
201103,38.9
201104,49.2
201105,56
201106,65.1
201107,69.1
201108,66.9
201109,61.5
201110,46.1
201111,40
201112,35.5
201201,32.5
201202,34.2
201203,46.3
201204,47
201205,58.9
201206,60.5
201207,69.8
201208,66.6
201209,59.2
201210,48.8
201211,34.3
201212,37.3
201301,34
201302,31.3
201303,32.7
201304,47
201305,54.3
201306,64.8
201307,68.6
201308,65.6
201309,58.8
201310,50.5
201311,36
201312,34.4
201401,23.5
201402,32.1
201403,33.4
201404,46.4
201405,56.5
201406,64.5
201407,65.9
201408,65.2
201409,62.9
201410,49.2
201411,34.2
201412,35.4
201501,28.9
201502,24.1
201503,39
201504,48.7
201505,56.9
201506,66.7
201507,68.5
201508,65.8
201509,62.4
201510,49.3
201511,44.3
201512,45.3
201601,28.4
201602,33.2
201603,44.2
201604,46.1
201605,55.5
201606,64.4
201607,69.8
201608,69.7
201609,64.6
201610,51.6
201611,38.5
201612,33.9
201701,35.8
201702,37.5
201703,37.4
201704,52.7
201705,56.9
201706,63.5
201707,68.7
201708,66.5
201709,60.2
201710,51.1
201711,38.3
201712,32.5
201801,24.2
201802,41.4
201803,35.8
201804,43.3
201805,61.4
201806,66.4
201807,67.4
201808,67.8
201809,67.7
201810,52.2
201811,38.5
201812,35.7
201901,32.2
201902,37.6
201903,37.4
201904,49.6
201905,60.6
201906,64
201907,68.5
201908,67
201909,63.8
201910,53.9
201911,36.4
201912,35.9
202001,36.2
202002,37.2
202003,45.6
202004,45
202005,53.2
202006,63.9
202007,69.4
202008,69
202009,60.8
202010,52.4
202011,43.1
202012,31.4
202101,31.5
202102,33.2
202103,41.3
202104,45.2
202105,53
202106,64
202107,67.2
202108,68.3
202109,59.7
202110,53.7
202111,35.2
202112,39.1
202201,28
202202,33.9
202203,40.7
202204,45.9
202205,57.9
202206,63.4
202207,69.5
202208,67.1
202209,59.3
202210,45.7
202211,42.2
202212,31.5
202301,36.1
202302,40.5
202303,40.3
202304,47.9
202305,53.6
202306,60.2
202307,68.6
202308,67.3
202309,60.6
202310,48.7
202311,38
202312,34.4
202401,30.8
202402,35.2
202403,42.1
202404,49.1
202405,58.7
202406,64.5
202407,69.4
202408,66.1
202409,62.3
202410,48.5
202411,43.8
202412,33.1
202501,24.8
202502,34.4
202503,40.7
202504,51.3
202505,57.6
202506,66.4
202507,70.8
202508,65.3
202509,59.9
202510,48.8
202511,38.6
202512,30.6
202601,27.6
202602,30.7
202603,43
