"Time Stamp","Time Zone","Name","PTID","Load"
"12/08/2025 00:00:00","EST","CAPITL",61757,1412.4346
"12/08/2025 00:00:00","EST","CENTRL",61754,1712.0684
"12/08/2025 00:00:00","EST","DUNWOD",61760,610.4952
"12/08/2025 00:00:00","EST","GENESE",61753,1042.9319
"12/08/2025 00:00:00","EST","HUD VL",61758,1075.2212
"12/08/2025 00:00:00","EST","LONGIL",61762,2052.291
"12/08/2025 00:00:00","EST","MHK VL",61756,939.9395
"12/08/2025 00:00:00","EST","MILLWD",61759,296.112
"12/08/2025 00:00:00","EST","N.Y.C.",61761,5022.0015
"12/08/2025 00:00:00","EST","NORTH",61755,726.3787
"12/08/2025 00:00:00","EST","WEST",61752,1579.3857
"12/08/2025 00:05:00","EST","CAPITL",61757,1364.2021
"12/08/2025 00:05:00","EST","CENTRL",61754,1722.4807
"12/08/2025 00:05:00","EST","DUNWOD",61760,611.0049
"12/08/2025 00:05:00","EST","GENESE",61753,1032.9767
"12/08/2025 00:05:00","EST","HUD VL",61758,1117.7742
"12/08/2025 00:05:00","EST","LONGIL",61762,2028.6398
"12/08/2025 00:05:00","EST","MHK VL",61756,932.2585
"12/08/2025 00:05:00","EST","MILLWD",61759,285.9991
"12/08/2025 00:05:00","EST","N.Y.C.",61761,4992.1553
"12/08/2025 00:05:00","EST","NORTH",61755,730.2252
"12/08/2025 00:05:00","EST","WEST",61752,1596.5149
"12/08/2025 00:10:00","EST","CAPITL",61757,1387.7589
"12/08/2025 00:10:00","EST","CENTRL",61754,1752.5083
"12/08/2025 00:10:00","EST","DUNWOD",61760,605.6462
"12/08/2025 00:10:00","EST","GENESE",61753,1039.8945
"12/08/2025 00:10:00","EST","HUD VL",61758,1081.6575
"12/08/2025 00:10:00","EST","LONGIL",61762,2024.2789
"12/08/2025 00:10:00","EST","MHK VL",61756,937.5115
"12/08/2025 00:10:00","EST","MILLWD",61759,311.0028
"12/08/2025 00:10:00","EST","N.Y.C.",61761,4983.31
"12/08/2025 00:10:00","EST","NORTH",61755,729.7706
"12/08/2025 00:10:00","EST","WEST",61752,1613.4584
"12/08/2025 00:15:00","EST","CAPITL",61757,1376.626
"12/08/2025 00:15:00","EST","CENTRL",61754,1760.0857
"12/08/2025 00:15:00","EST","DUNWOD",61760,603.2305
"12/08/2025 00:15:00","EST","GENESE",61753,1026.1864
"12/08/2025 00:15:00","EST","HUD VL",61758,1080.6064
"12/08/2025 00:15:00","EST","LONGIL",61762,2025.7341
"12/08/2025 00:15:00","EST","MHK VL",61756,935.3276
"12/08/2025 00:15:00","EST","MILLWD",61759,298.8702
"12/08/2025 00:15:00","EST","N.Y.C.",61761,4978.58
"12/08/2025 00:15:00","EST","NORTH",61755,730.5553
"12/08/2025 00:15:00","EST","WEST",61752,1628.6459
"12/08/2025 00:20:00","EST","CAPITL",61757,1373.28
"12/08/2025 00:20:00","EST","CENTRL",61754,1758.1946
"12/08/2025 00:20:00","EST","DUNWOD",61760,599.9933
"12/08/2025 00:20:00","EST","GENESE",61753,1035.7664
"12/08/2025 00:20:00","EST","HUD VL",61758,1091.0703
"12/08/2025 00:20:00","EST","LONGIL",61762,2015.0745
"12/08/2025 00:20:00","EST","MHK VL",61756,947.2548
"12/08/2025 00:20:00","EST","MILLWD",61759,293.1522
"12/08/2025 00:20:00","EST","N.Y.C.",61761,4950.0312
"12/08/2025 00:20:00","EST","NORTH",61755,719.1884
"12/08/2025 00:20:00","EST","WEST",61752,1610.7573
"12/08/2025 00:25:00","EST","CAPITL",61757,1362.3184
"12/08/2025 00:25:00","EST","CENTRL",61754,1754.6587
"12/08/2025 00:25:00","EST","DUNWOD",61760,607.5441
