"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094728","12-01","    43.5","    49.0","    37.9"
"USW00094728","12-02","    43.2","    48.7","    37.6"
"USW00094728","12-03","    42.9","    48.4","    37.4"
"USW00094728","12-04","    42.6","    48.1","    37.1"
"USW00094728","12-05","    42.4","    47.8","    36.9"
"USW00094728","12-06","    42.1","    47.5","    36.7"
"USW00094728","12-07","    41.8","    47.2","    36.4"
"USW00094728","12-08","    41.6","    47.0","    36.2"
"USW00094728","12-09","    41.3","    46.7","    36.0"
"USW00094728","12-10","    41.1","    46.4","    35.8"
"USW00094728","12-11","    40.8","    46.1","    35.5"
"USW00094728","12-12","    40.6","    45.8","    35.3"
"USW00094728","12-13","    40.3","    45.6","    35.1"
"USW00094728","12-14","    40.1","    45.3","    34.8"
"USW00094728","12-15","    39.8","    45.1","    34.6"
"USW00094728","12-16","    39.6","    44.8","    34.4"
"USW00094728","12-17","    39.4","    44.6","    34.2"
"USW00094728","12-18","    39.1","    44.3","    33.9"
"USW00094728","12-19","    38.9","    44.1","    33.7"
"USW00094728","12-20","    38.7","    43.8","    33.5"
"USW00094728","12-21","    38.4","    43.6","    33.3"
"USW00094728","12-22","    38.2","    43.4","    33.0"
"USW00094728","12-23","    38.0","    43.2","    32.8"
"USW00094728","12-24","    37.8","    43.0","    32.6"
"USW00094728","12-25","    37.6","    42.8","    32.3"
"USW00094728","12-26","    37.3","    42.6","    32.1"
"USW00094728","12-27","    37.1","    42.4","    31.9"
"USW00094728","12-28","    36.9","    42.2","    31.7"
"USW00094728","12-29","    36.7","    42.0","    31.5"
"USW00094728","12-30","    36.5","    41.8","    31.2"
"USW00094728","12-31","    36.3","    41.7","    31.0"
