"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094728","04-01","    48.5","    56.3","    40.6"
"USW00094728","04-02","    48.8","    56.7","    41.0"
"USW00094728","04-03","    49.2","    57.1","    41.3"
"USW00094728","04-04","    49.6","    57.5","    41.6"
"USW00094728","04-05","    50.0","    57.9","    42.0"
"USW00094728","04-06","    50.3","    58.3","    42.3"
"USW00094728","04-07","    50.7","    58.7","    42.7"
"USW00094728","04-08","    51.1","    59.2","    43.1"
"USW00094728","04-09","    51.5","    59.6","    43.4"
"USW00094728","04-10","    51.9","    60.0","    43.8"
"USW00094728","04-11","    52.3","    60.4","    44.1"
"USW00094728","04-12","    52.7","    60.8","    44.5"
"USW00094728","04-13","    53.1","    61.2","    44.9"
"USW00094728","04-14","    53.5","    61.7","    45.2"
"USW00094728","04-15","    53.8","    62.1","    45.6"
"USW00094728","04-16","    54.2","    62.5","    46.0"
"USW00094728","04-17","    54.6","    62.9","    46.4"
"USW00094728","04-18","    55.0","    63.3","    46.7"
"USW00094728","04-19","    55.4","    63.7","    47.1"
"USW00094728","04-20","    55.8","    64.1","    47.5"
"USW00094728","04-21","    56.2","    64.5","    47.8"
"USW00094728","04-22","    56.5","    64.9","    48.2"
"USW00094728","04-23","    56.9","    65.3","    48.5"
"USW00094728","04-24","    57.3","    65.7","    48.9"
"USW00094728","04-25","    57.7","    66.0","    49.3"
"USW00094728","04-26","    58.0","    66.4","    49.6"
"USW00094728","04-27","    58.4","    66.8","    50.0"
"USW00094728","04-28","    58.7","    67.1","    50.3"
"USW00094728","04-29","    59.1","    67.5","    50.6"
"USW00094728","04-30","    59.4","    67.8","    51.0"
