"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094728","08-01","    78.3","    85.6","    70.9"
"USW00094728","08-02","    78.1","    85.5","    70.8"
"USW00094728","08-03","    78.0","    85.3","    70.7"
"USW00094728","08-04","    77.9","    85.2","    70.6"
"USW00094728","08-05","    77.8","    85.1","    70.5"
"USW00094728","08-06","    77.7","    84.9","    70.4"
"USW00094728","08-07","    77.5","    84.8","    70.3"
"USW00094728","08-08","    77.4","    84.7","    70.1"
"USW00094728","08-09","    77.3","    84.5","    70.0"
"USW00094728","08-10","    77.1","    84.4","    69.9"
"USW00094728","08-11","    77.0","    84.2","    69.8"
"USW00094728","08-12","    76.8","    84.1","    69.6"
"USW00094728","08-13","    76.7","    83.9","    69.5"
"USW00094728","08-14","    76.6","    83.8","    69.4"
"USW00094728","08-15","    76.4","    83.6","    69.2"
"USW00094728","08-16","    76.3","    83.4","    69.1"
"USW00094728","08-17","    76.1","    83.3","    68.9"
"USW00094728","08-18","    76.0","    83.1","    68.8"
"USW00094728","08-19","    75.8","    83.0","    68.7"
"USW00094728","08-20","    75.7","    82.8","    68.5"
"USW00094728","08-21","    75.5","    82.7","    68.4"
"USW00094728","08-22","    75.4","    82.5","    68.2"
"USW00094728","08-23","    75.2","    82.3","    68.1"
"USW00094728","08-24","    75.0","    82.2","    67.9"
"USW00094728","08-25","    74.9","    82.0","    67.7"
"USW00094728","08-26","    74.7","    81.9","    67.6"
"USW00094728","08-27","    74.6","    81.7","    67.4"
"USW00094728","08-28","    74.4","    81.5","    67.3"
"USW00094728","08-29","    74.2","    81.3","    67.1"
"USW00094728","08-30","    74.0","    81.2","    66.9"
"USW00094728","08-31","    73.8","    81.0","    66.7"
