"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094728","02-01","    33.8","    40.1","    27.5"
"USW00094728","02-02","    33.9","    40.2","    27.5"
"USW00094728","02-03","    34.0","    40.3","    27.6"
"USW00094728","02-04","    34.0","    40.4","    27.7"
"USW00094728","02-05","    34.1","    40.5","    27.8"
"USW00094728","02-06","    34.3","    40.6","    27.9"
"USW00094728","02-07","    34.4","    40.8","    28.0"
"USW00094728","02-08","    34.5","    40.9","    28.1"
"USW00094728","02-09","    34.6","    41.1","    28.2"
"USW00094728","02-10","    34.8","    41.2","    28.4"
"USW00094728","02-11","    35.0","    41.4","    28.5"
"USW00094728","02-12","    35.1","    41.6","    28.7"
"USW00094728","02-13","    35.3","    41.8","    28.8"
"USW00094728","02-14","    35.5","    42.0","    29.0"
"USW00094728","02-15","    35.7","    42.2","    29.2"
"USW00094728","02-16","    35.9","    42.4","    29.3"
"USW00094728","02-17","    36.1","    42.6","    29.5"
"USW00094728","02-18","    36.3","    42.8","    29.7"
"USW00094728","02-19","    36.5","    43.0","    29.9"
"USW00094728","02-20","    36.7","    43.3","    30.1"
"USW00094728","02-21","    36.9","    43.5","    30.3"
"USW00094728","02-22","    37.2","    43.8","    30.6"
"USW00094728","02-23","    37.4","    44.0","    30.8"
"USW00094728","02-24","    37.6","    44.3","    31.0"
"USW00094728","02-25","    37.9","    44.5","    31.2"
"USW00094728","02-26","    38.1","    44.8","    31.4"
"USW00094728","02-27","    38.4","    45.1","    31.7"
"USW00094728","02-28","    38.6","    45.4","    31.9"
