"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094728","01-01","    36.2","    41.5","    30.8"
"USW00094728","01-02","    36.0","    41.4","    30.6"
"USW00094728","01-03","    35.8","    41.2","    30.4"
"USW00094728","01-04","    35.6","    41.1","    30.2"
"USW00094728","01-05","    35.5","    40.9","    30.0"
"USW00094728","01-06","    35.3","    40.8","    29.8"
"USW00094728","01-07","    35.1","    40.7","    29.6"
"USW00094728","01-08","    35.0","    40.6","    29.4"
"USW00094728","01-09","    34.8","    40.5","    29.2"
"USW00094728","01-10","    34.7","    40.3","    29.0"
"USW00094728","01-11","    34.6","    40.3","    28.9"
"USW00094728","01-12","    34.4","    40.2","    28.7"
"USW00094728","01-13","    34.3","    40.1","    28.6"
"USW00094728","01-14","    34.2","    40.0","    28.4"
"USW00094728","01-15","    34.1","    39.9","    28.3"
"USW00094728","01-16","    34.0","    39.9","    28.1"
"USW00094728","01-17","    33.9","    39.8","    28.0"
"USW00094728","01-18","    33.9","    39.8","    27.9"
"USW00094728","01-19","    33.8","    39.8","    27.8"
"USW00094728","01-20","    33.7","    39.7","    27.7"
"USW00094728","01-21","    33.7","    39.7","    27.6"
"USW00094728","01-22","    33.6","    39.7","    27.6"
"USW00094728","01-23","    33.6","    39.7","    27.5"
"USW00094728","01-24","    33.6","    39.7","    27.5"
"USW00094728","01-25","    33.6","    39.7","    27.4"
"USW00094728","01-26","    33.6","    39.8","    27.4"
"USW00094728","01-27","    33.6","    39.8","    27.4"
"USW00094728","01-28","    33.6","    39.8","    27.4"
"USW00094728","01-29","    33.6","    39.9","    27.4"
"USW00094728","01-30","    33.7","    39.9","    27.4"
"USW00094728","01-31","    33.7","    40.0","    27.4"
