"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094728","07-01","    76.6","    84.1","    69.1"
"USW00094728","07-02","    76.8","    84.3","    69.4"
"USW00094728","07-03","    77.1","    84.5","    69.6"
"USW00094728","07-04","    77.3","    84.7","    69.8"
"USW00094728","07-05","    77.5","    84.9","    70.0"
"USW00094728","07-06","    77.7","    85.1","    70.2"
"USW00094728","07-07","    77.8","    85.3","    70.4"
"USW00094728","07-08","    78.0","    85.5","    70.5"
"USW00094728","07-09","    78.2","    85.6","    70.7"
"USW00094728","07-10","    78.3","    85.8","    70.8"
"USW00094728","07-11","    78.4","    85.9","    70.9"
"USW00094728","07-12","    78.5","    86.0","    71.1"
"USW00094728","07-13","    78.6","    86.1","    71.2"
"USW00094728","07-14","    78.7","    86.2","    71.2"
"USW00094728","07-15","    78.8","    86.3","    71.3"
"USW00094728","07-16","    78.9","    86.3","    71.4"
"USW00094728","07-17","    78.9","    86.4","    71.4"
"USW00094728","07-18","    78.9","    86.4","    71.5"
"USW00094728","07-19","    79.0","    86.4","    71.5"
"USW00094728","07-20","    79.0","    86.4","    71.5"
"USW00094728","07-21","    79.0","    86.4","    71.5"
"USW00094728","07-22","    78.9","    86.4","    71.5"
"USW00094728","07-23","    78.9","    86.3","    71.5"
"USW00094728","07-24","    78.9","    86.3","    71.4"
"USW00094728","07-25","    78.8","    86.2","    71.4"
"USW00094728","07-26","    78.8","    86.2","    71.4"
"USW00094728","07-27","    78.7","    86.1","    71.3"
"USW00094728","07-28","    78.6","    86.0","    71.2"
"USW00094728","07-29","    78.5","    85.9","    71.2"
"USW00094728","07-30","    78.5","    85.8","    71.1"
"USW00094728","07-31","    78.4","    85.7","    71.0"
