"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094728","06-01","    67.9","    75.8","    60.0"
"USW00094728","06-02","    68.1","    76.0","    60.3"
"USW00094728","06-03","    68.4","    76.2","    60.6"
"USW00094728","06-04","    68.7","    76.5","    60.9"
"USW00094728","06-05","    69.0","    76.7","    61.2"
"USW00094728","06-06","    69.2","    77.0","    61.5"
"USW00094728","06-07","    69.5","    77.2","    61.8"
"USW00094728","06-08","    69.8","    77.5","    62.1"
"USW00094728","06-09","    70.1","    77.8","    62.4"
"USW00094728","06-10","    70.4","    78.1","    62.7"
"USW00094728","06-11","    70.7","    78.3","    63.1"
"USW00094728","06-12","    71.0","    78.6","    63.4"
"USW00094728","06-13","    71.3","    78.9","    63.7"
"USW00094728","06-14","    71.6","    79.2","    64.0"
"USW00094728","06-15","    71.9","    79.5","    64.4"
"USW00094728","06-16","    72.2","    79.8","    64.7"
"USW00094728","06-17","    72.6","    80.1","    65.0"
"USW00094728","06-18","    72.9","    80.4","    65.3"
"USW00094728","06-19","    73.2","    80.7","    65.7"
"USW00094728","06-20","    73.5","    81.0","    66.0"
"USW00094728","06-21","    73.8","    81.3","    66.3"
"USW00094728","06-22","    74.1","    81.6","    66.6"
"USW00094728","06-23","    74.4","    81.9","    66.9"
"USW00094728","06-24","    74.7","    82.2","    67.2"
"USW00094728","06-25","    75.0","    82.5","    67.5"
"USW00094728","06-26","    75.3","    82.7","    67.8"
"USW00094728","06-27","    75.6","    83.0","    68.1"
"USW00094728","06-28","    75.8","    83.3","    68.4"
"USW00094728","06-29","    76.1","    83.6","    68.6"
"USW00094728","06-30","    76.3","    83.8","    68.9"
