"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094728","03-01","    38.9","    45.6","    32.1"
"USW00094728","03-02","    39.2","    45.9","    32.4"
"USW00094728","03-03","    39.4","    46.2","    32.6"
"USW00094728","03-04","    39.7","    46.5","    32.9"
"USW00094728","03-05","    40.0","    46.8","    33.1"
"USW00094728","03-06","    40.2","    47.1","    33.3"
"USW00094728","03-07","    40.5","    47.4","    33.6"
"USW00094728","03-08","    40.8","    47.7","    33.8"
"USW00094728","03-09","    41.1","    48.1","    34.1"
"USW00094728","03-10","    41.4","    48.4","    34.3"
"USW00094728","03-11","    41.6","    48.7","    34.6"
"USW00094728","03-12","    41.9","    49.0","    34.8"
"USW00094728","03-13","    42.2","    49.3","    35.1"
"USW00094728","03-14","    42.5","    49.7","    35.4"
"USW00094728","03-15","    42.8","    50.0","    35.6"
"USW00094728","03-16","    43.1","    50.4","    35.9"
"USW00094728","03-17","    43.4","    50.7","    36.1"
"USW00094728","03-18","    43.7","    51.0","    36.4"
"USW00094728","03-19","    44.0","    51.4","    36.7"
"USW00094728","03-20","    44.4","    51.7","    37.0"
"USW00094728","03-21","    44.7","    52.1","    37.3"
"USW00094728","03-22","    45.0","    52.5","    37.5"
"USW00094728","03-23","    45.3","    52.8","    37.8"
"USW00094728","03-24","    45.7","    53.2","    38.1"
"USW00094728","03-25","    46.0","    53.6","    38.4"
"USW00094728","03-26","    46.3","    53.9","    38.7"
"USW00094728","03-27","    46.7","    54.3","    39.0"
"USW00094728","03-28","    47.0","    54.7","    39.3"
"USW00094728","03-29","    47.4","    55.1","    39.7"
"USW00094728","03-30","    47.7","    55.5","    40.0"
"USW00094728","03-31","    48.1","    55.9","    40.3"
