"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094728","05-01","    59.7","    68.2","    51.3"
"USW00094728","05-02","    60.0","    68.5","    51.6"
"USW00094728","05-03","    60.4","    68.8","    51.9"
"USW00094728","05-04","    60.7","    69.1","    52.2"
"USW00094728","05-05","    61.0","    69.4","    52.6"
"USW00094728","05-06","    61.3","    69.7","    52.9"
"USW00094728","05-07","    61.6","    70.0","    53.2"
"USW00094728","05-08","    61.9","    70.3","    53.4"
"USW00094728","05-09","    62.1","    70.5","    53.7"
"USW00094728","05-10","    62.4","    70.8","    54.0"
"USW00094728","05-11","    62.7","    71.1","    54.3"
"USW00094728","05-12","    62.9","    71.3","    54.6"
"USW00094728","05-13","    63.2","    71.6","    54.9"
"USW00094728","05-14","    63.5","    71.8","    55.1"
"USW00094728","05-15","    63.7","    72.0","    55.4"
"USW00094728","05-16","    64.0","    72.3","    55.7"
"USW00094728","05-17","    64.2","    72.5","    55.9"
"USW00094728","05-18","    64.4","    72.7","    56.2"
"USW00094728","05-19","    64.7","    72.9","    56.5"
"USW00094728","05-20","    64.9","    73.1","    56.7"
"USW00094728","05-21","    65.2","    73.3","    57.0"
"USW00094728","05-22","    65.4","    73.6","    57.2"
"USW00094728","05-23","    65.6","    73.8","    57.5"
"USW00094728","05-24","    65.9","    74.0","    57.8"
"USW00094728","05-25","    66.1","    74.2","    58.0"
"USW00094728","05-26","    66.4","    74.4","    58.3"
"USW00094728","05-27","    66.6","    74.6","    58.6"
"USW00094728","05-28","    66.9","    74.8","    58.9"
"USW00094728","05-29","    67.1","    75.1","    59.1"
"USW00094728","05-30","    67.4","    75.3","    59.4"
"USW00094728","05-31","    67.6","    75.5","    59.7"
