"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094728","11-01","    52.7","    59.0","    46.4"
"USW00094728","11-02","    52.4","    58.7","    46.0"
"USW00094728","11-03","    52.0","    58.3","    45.7"
"USW00094728","11-04","    51.7","    58.0","    45.4"
"USW00094728","11-05","    51.3","    57.6","    45.1"
"USW00094728","11-06","    51.0","    57.3","    44.7"
"USW00094728","11-07","    50.7","    56.9","    44.4"
"USW00094728","11-08","    50.3","    56.6","    44.1"
"USW00094728","11-09","    50.0","    56.2","    43.8"
"USW00094728","11-10","    49.7","    55.9","    43.5"
"USW00094728","11-11","    49.4","    55.6","    43.2"
"USW00094728","11-12","    49.1","    55.2","    42.9"
"USW00094728","11-13","    48.7","    54.9","    42.6"
"USW00094728","11-14","    48.4","    54.6","    42.3"
"USW00094728","11-15","    48.1","    54.2","    42.0"
"USW00094728","11-16","    47.8","    53.9","    41.7"
"USW00094728","11-17","    47.5","    53.6","    41.4"
"USW00094728","11-18","    47.2","    53.2","    41.2"
"USW00094728","11-19","    46.9","    52.9","    40.9"
"USW00094728","11-20","    46.6","    52.6","    40.6"
"USW00094728","11-21","    46.3","    52.2","    40.4"
"USW00094728","11-22","    46.0","    51.9","    40.1"
"USW00094728","11-23","    45.7","    51.6","    39.8"
"USW00094728","11-24","    45.4","    51.3","    39.6"
"USW00094728","11-25","    45.1","    50.9","    39.3"
"USW00094728","11-26","    44.8","    50.6","    39.1"
"USW00094728","11-27","    44.6","    50.3","    38.8"
"USW00094728","11-28","    44.3","    50.0","    38.6"
"USW00094728","11-29","    44.0","    49.7","    38.3"
"USW00094728","11-30","    43.7","    49.4","    38.1"
