"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094728","10-01","    64.8","    71.5","    58.0"
"USW00094728","10-02","    64.4","    71.1","    57.6"
"USW00094728","10-03","    64.0","    70.7","    57.3"
"USW00094728","10-04","    63.6","    70.3","    56.9"
"USW00094728","10-05","    63.2","    69.9","    56.5"
"USW00094728","10-06","    62.8","    69.4","    56.1"
"USW00094728","10-07","    62.4","    69.0","    55.7"
"USW00094728","10-08","    62.0","    68.6","    55.4"
"USW00094728","10-09","    61.6","    68.1","    55.0"
"USW00094728","10-10","    61.2","    67.7","    54.6"
"USW00094728","10-11","    60.7","    67.3","    54.2"
"USW00094728","10-12","    60.3","    66.9","    53.8"
"USW00094728","10-13","    59.9","    66.5","    53.4"
"USW00094728","10-14","    59.5","    66.0","    53.0"
"USW00094728","10-15","    59.1","    65.6","    52.6"
"USW00094728","10-16","    58.7","    65.2","    52.3"
"USW00094728","10-17","    58.3","    64.8","    51.9"
"USW00094728","10-18","    57.9","    64.4","    51.5"
"USW00094728","10-19","    57.5","    64.0","    51.1"
"USW00094728","10-20","    57.1","    63.6","    50.7"
"USW00094728","10-21","    56.8","    63.2","    50.3"
"USW00094728","10-22","    56.4","    62.8","    50.0"
"USW00094728","10-23","    56.0","    62.4","    49.6"
"USW00094728","10-24","    55.6","    62.0","    49.2"
"USW00094728","10-25","    55.2","    61.6","    48.9"
"USW00094728","10-26","    54.9","    61.2","    48.5"
"USW00094728","10-27","    54.5","    60.9","    48.1"
"USW00094728","10-28","    54.1","    60.5","    47.8"
"USW00094728","10-29","    53.8","    60.1","    47.4"
"USW00094728","10-30","    53.4","    59.7","    47.1"
"USW00094728","10-31","    53.1","    59.4","    46.7"
