"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094728","09-01","    73.7","    80.8","    66.5"
"USW00094728","09-02","    73.5","    80.6","    66.3"
"USW00094728","09-03","    73.3","    80.4","    66.1"
"USW00094728","09-04","    73.1","    80.2","    65.9"
"USW00094728","09-05","    72.8","    80.0","    65.7"
"USW00094728","09-06","    72.6","    79.7","    65.5"
"USW00094728","09-07","    72.4","    79.5","    65.3"
"USW00094728","09-08","    72.2","    79.3","    65.1"
"USW00094728","09-09","    71.9","    79.0","    64.8"
"USW00094728","09-10","    71.7","    78.8","    64.6"
"USW00094728","09-11","    71.4","    78.5","    64.4"
"USW00094728","09-12","    71.2","    78.2","    64.1"
"USW00094728","09-13","    70.9","    78.0","    63.8"
"USW00094728","09-14","    70.6","    77.7","    63.6"
"USW00094728","09-15","    70.3","    77.4","    63.3"
"USW00094728","09-16","    70.0","    77.1","    63.0"
"USW00094728","09-17","    69.7","    76.7","    62.7"
"USW00094728","09-18","    69.4","    76.4","    62.4"
"USW00094728","09-19","    69.1","    76.1","    62.1"
"USW00094728","09-20","    68.8","    75.7","    61.8"
"USW00094728","09-21","    68.4","    75.4","    61.5"
"USW00094728","09-22","    68.1","    75.0","    61.2"
"USW00094728","09-23","    67.8","    74.7","    60.8"
"USW00094728","09-24","    67.4","    74.3","    60.5"
"USW00094728","09-25","    67.0","    73.9","    60.2"
"USW00094728","09-26","    66.7","    73.5","    59.8"
"USW00094728","09-27","    66.3","    73.1","    59.5"
"USW00094728","09-28","    65.9","    72.8","    59.1"
"USW00094728","09-29","    65.6","    72.3","    58.8"
"USW00094728","09-30","    65.2","    71.9","    58.4"
